unique_id,MAE_RF,MSE_RF,R2_RF,MAPE_RF,MAE_KNN,MSE_KNN,R2_KNN,MAPE_KNN
FOODS_3_226,1170.6771334134614,1908455.4180707564,-3.6140522956848145,0.20255594124870305,906.6647198016827,1123364.4026496639,-1.7159459590911865,0.15751949722448602
FOODS_3_228,501.33150540865387,345740.5067281746,-5.598943710327148,0.3062981328980184,533.4439415564904,330889.1372836576,-5.315485000610352,0.3216470211111778
FOODS_3_234,729.3757699819712,891524.3228226763,-0.5381593704223633,0.2823818781089738,791.9017427884615,1508417.2094590114,-1.6024930477142334,0.3369243752347414
FOODS_3_252,2062.1287560096152,6517148.343412693,-0.8999803066253662,0.21389269171834818,1638.9368239182693,4804129.951039755,-0.4005746841430664,0.16053142975012027
FOODS_3_281,2925.329326923077,9877309.019809227,-11.095762252807617,23.850115924098716,2463.344538762019,7532669.360246475,-8.22451400756836,22.732815840988263
FOODS_3_282,1227.9263822115386,2268827.8047260595,-1.7093806266784668,0.23678487954541214,1234.8628305288462,2554579.1884392225,-2.0506184101104736,0.2470245016409075
FOODS_3_288,1219.2760667067307,2123944.56765936,-2.0727028846740723,0.3975412256508098,997.2436335637019,1624228.0334045016,-1.3497645854949951,0.30322190230647555
FOODS_3_295,1000.6980356069712,1625673.3233007146,-0.3340282440185547,4.205576599390451,1254.615215594952,3547556.651087866,-1.9111270904541016,8.874128908328368
FOODS_3_318,1961.4326171875,7564571.835509043,-1.7667362689971924,3.6803857989390423e+18,2861.1951434795674,12219680.778689729,-3.469338893890381,3.6685273968778435e+18
FOODS_3_319,2955.8528489332934,11692617.460507058,-3.144925594329834,433.8108497802405,3294.8725867638223,12667424.39495614,-3.490485191345215,363.9516446251199
FOODS_3_329,1635.883793757512,3776981.306766361,-0.010144352912902832,1.0068035561009971e+18,1267.1768129788911,2298891.0351260984,0.3851671814918518,5.697037511699484e+17
FOODS_3_348,635.8777137169471,678603.2795716489,-0.8653466701507568,10.765475583584251,766.7593149038462,1103175.5945724936,-2.0324127674102783,14.404786033440898
FOODS_3_362,1730.8872445913462,4832596.86949619,-0.30243122577667236,43.46911645421267,1970.3344163161057,5371360.803566203,-0.44763338565826416,51.10754375850324
FOODS_3_376,1655.9945913461538,3318764.2231893083,-3.801453113555908,0.6256720995450789,967.6431415264423,1552135.0586066614,-1.2455661296844482,0.3905185914971411
FOODS_3_377,862.5196533203125,1291631.4785175151,-3.683039665222168,0.19723123344679813,797.7479154146635,955246.1636881507,-2.4634149074554443,0.18218903078426152
FOODS_3_389,499.3299560546875,419080.9959575087,-1.381438970565796,0.15846641607641757,609.6861572265625,550950.064610056,-2.130788564682007,0.19165916079238357
FOODS_3_404,1681.5512131911057,4016931.6823892687,-0.21260201930999756,193.23629885414624,1718.8634408804087,3823383.9009469827,-0.15417516231536865,177.04140889939757
FOODS_3_406,610.3048095703125,556030.8353033972,0.06198805570602417,1.5627028835381251,974.2446758563702,1509538.5674603547,-1.5465588569641113,4.6738948411631505
FOODS_3_412,583.6837252103365,408376.7178869087,-2.574200391769409,0.3124918463913685,481.1290471003606,322743.42643400456,-1.8247196674346924,0.2541012644668565
FOODS_3_444,3435.833514873798,14387316.797441002,-3.6799416542053223,8.538957173201064e+18,2853.248234675481,9565294.236120792,-2.111422300338745,6.914174586820372e+18
FOODS_3_455,1550.5142728365386,3218039.4976680186,-39.49109649658203,0.8454346571288412,1417.1319298377405,3031585.850653515,-37.14503860473633,0.7411507175481987
